00A,Bensalem
14AL,Fort Rucker/Hartford
14AR,Forrest City
14AZ,Green Valley
14CA,Newport Beach
14CL,Glendora
14CO,Beulah
14CT,Mashantucket
14FA,Miami
14FD,St Augustine
14FL,Jay
14GA,Gainesville
14GE,Trenton
14I,Jamestown
14ID,Boise
14IL,Kewanee
14IN,De Motte
14IS,Du Quoin
14KS,Parker
14KY,Paris
14L,Los Angeles
14LA,St Francisville
14LL,Melrose Park
14LS,Baton Rouge
14MA,Agawam
14ME,Carmel
14MI,Dutton
14MN,Aitkin
14MO,Blue Springs
14MS,Hickory
14MT,Lewistown
14N,Lehighton
14NC,Holly Ridge
14ND,Reeder
14NE,Aurora
14NH,Keene
14NJ,Rio Grande
14NK,Kingsbury
14NY,Melville
14OH,Kenton
14OI,Pleasant Home
14OK,Kingfisher
14OR,Hoodriver
14P,Spencer
14PA,Pottstown
14PS,Quarryville
14S,Westport
14SN,Topeka
14TA,Startzville
14TE,Hext
14TN,Memphis
14TS,Realitos
14TX,Dripping Springs
14VA,Hillsboro
14WA,Olympia
14WI,New Richmond
14WS,Stone Lake
14WV,Linwood
14XA,Sherman
14XS,Davilla
15A,Creola
15AK,Cantwell
15AL,Fort Rucker/Hartford
15AR,Brickeys
15AZ,Quartzsite
15CA,Palo Alto
15CL,Merced
15CO,Englewood
15FD,Wausau
15FL,Lake City
15G,Wadsworth
15GA,Kite
15IA,Bellvue
15ID,Coeur D Alene
15II,Lafayette
15IL,Franklin Grove
15IN,New Harmony
15KS,Emporia
15KY,Paris
15LA,Oak Grove
15LL,Tiskilwa
15LS,New Iberia
15MA,Gosnold
15ME,North Yarmouth
15MI,Fraser
15MN,Watkins
15MO,Queen City
15MT,Lustre
15N,Wyoming
15NC,Ahoskie
15NE,Upland
15NH,Nashua
15NJ,Belford
15NK,Sardinia
15NY,Far Rockaway
15OH,Dennison
15OI,Sandusky
15OK,Muskogee
15OR,Warrenton
15PA,Prompton
15PN,Reading
15PS,West Grove
15S,Lester
15SD,
15TA,Briggs
15TE,High Island
15TN,Kingsport
15TS,Richardson
15TX,Stephenville
15VA,Warrenton
15W,Laingsburg
15WA,Stanwood
15WI,Oregon
15XS,Liverpool
16A,Nunapitchuk
16AK,Wasilla
16AL,Fort Rucker/Ozark
16AR,Springfield
16AZ,Skull Valley
16CA,San Francisco
16CL,Angels Camp
16CO,Parachute
16DE,Wilmington
16FA,Ochopee
16FD,Crescent City
16FL,Milton
16GA,Marietta
16IA,Coon Rapids
16ID,Montpelier
16II,San Pierre
16IL,Kirkland
16IN,Evansville
16IS,Goreville
16K,Port Alice
16KY,Carter
16LA,Cade
16LL,Bull Valley
16LS,Simmsport
16MA,Lawrence
16MD,North East
16MI,Gaines
16MN,Baudette
16MO,Beaufort
16MS,Iuka
16MT,Roberts
16NC,Edenton
16NE,Panama
16NH,Meredith
16NJ,Island Heights
16NK,Walton
16NY,Syracuse
16OH,Cleveland
16OI,Greenville
16OK,Harrah
16OR,Coburg
16PA,Eighty Four
16PN,Oakdale
16S,Myrtle Creek
16SC,Cross Anchor
16TA,Toyahvale
16TE,Hawkins
16TN,Fayetteville
16TS,Tyler
16TX,Stephenville
16VA,Winchester
16W,Starbuck
16WA,Nine Mile Falls
16WI,Phelps
16X,Justin
16XS,Conroe
16Z,Mcgrath
17AK,Ketchikan
17AL,Fort Rucker/Newton
17AR,England
17AZ,Gilbert
17CA,San Pablo
17CL,Davenport
17CO,Berthoud
17FA,La Belle
17FD,Bartow
17FL,Ocala
17GA,Newnan
17ID,Midvale
17II,Walkerton
17IN,Farmers Retreat
17KS,Melvern
17KY,Sacramento
17LA,Venice
17LL,Mahomet
17LS,Port Barre
17MA,Leominster
17ME,Van Buren
17MI,Detroit
17MN,Mc Gregor
17MO,Montgomery City
17MS,Vicksburg
17MT,Kalispell
17NC,Elizabethtown
17NE,Fairbury
17NH,Londonderry
17NJ,Sayreville
17NK,Reading Center
17NY,Stafford
17OH,Kipton
17OI,Bainbridge
17OK,Kremlin
17OR,Glide
17PA,Quakertown
17PN,Tobyhanna
17PS,Tidioute
17S,Newberg
17SC,Clinton
17TA,Hurst
17TE,Comfort
17TN,Jonesborough
17TS,Alpine
17TX,Stephenville
17U,Eagle Mountain
17VA,Grundy
17WA,Startup
17WI,Lake Mills
17XA,Jacksonville
17XS,Dublin
18AK,Juneau
18AL,Fort Rucker/Louisville
18AR,Eureka Springs
18AZ,Carefree
18CA,Templeton
18CL,Live Oak
18CO,Rangely
18FA,Palm City
18FD,Baker
18FL,Ruskin
18GA,Social Circle
18ID,Mountain Home
18II,Cicero
18IL,La Grange
18IN,Farmersburg
18IS,South Barrington
18JY,Skamokawa
18K,Fowler
18KS,Udall
18KY,Benton
18LA,Pineville
18LS,Abbeville
18MA,Methuen
18MD,Olney
18ME,Bristol
18MI,Gladwin
18MN,Motley
18MO,Ozark
18MT,Jackson
18NC,Lenoir
18NE,Geneva
18NJ,Freehold
18NY,Woodstock
18OH,Lagrange
18OI,Vickery
18OK,Lawton
18OR,Amity
18PA,Forest Grove
18PN,Upper Strasburg
18SC,Silverstreet
18TA,Junction
18TE,Big Sandy
18TN,Dunlap
18TS,Austin
18TX,Caddo Mills
18VA,Hurt
18WA,Pasco
18WI,Poy Sippi
18WV,Newburg
18XA,Goliad
18XS,Mc Adoo
18Y,Milaca
19AK,Icy Bay
19AL,Fort Rucker/Ozark
19AR,Naylor
19AZ,Camp Verde
19CA,Valencia
19CL,Helendale
19CO,Colorado Springs
19FD,Kissimmee
19FL,Belleview
19GA,Fayetteville
19IA,West Burlington
19II,New Castle
19IL,Bloomington
19IN,Frankfort
19IS,Wayne City
19KS,Chanute
19KY,Dry Ridge
19LA,Baton Rouge
19LL,Manteno
19LS,Franklinton
19MA,Nantucket
19MI,Big Rapids
19MO,Kansas City
19MT,Grassrange
19NC,Red Oak
19ND,Tolna
19NE,Mc Cook/Culbertson
19NH,New Boston
19NJ,West Windsor
19NK,Central Square
19NY,Reading
19OH,Litchfield
19OI,Wintersville
19OK,Okmulgee
19OR,Maupin
19P,Port Protection
19PA,Millville
19PN,Landisville
19SC,Newberry
19T,Osage Beach
19TA,Mc Clendon-Chisholm
19TE,Conroe
19TN,Clarksville
19TS,Austin
19TX,Temple
19VA,St. Paul
19WA,Stevenson
19WI,Prairie Farm
19XS,Maypearl
1A1,Livingston
1A2,Arthur
1A8,Empire
1AK0,Craig
1AK1,Crevice Creek
1AK2,Crosswind Lake
1AK4,Soldotna
1AK5,Nikiski
1AK6,Sketna
1AK7,Valdez
1AK8,Skwentna
1AK9,Fairbanks
1AL0,Boaz
1AL1,Decatur
1AL2,Columbiana
1AL3,Our Town
1AL4,Robertsdale
1AL5,Loxley
1AL6,Monroeville
1AL7,Montgomery
1AL8,Moody
1AL9,Northport
1AR0,Beedeville
1AR1,Coy
1AR2,Des Arc
1AR3,Des Arc
1AR4,Elkins
1AR5,Gentry
1AR6,Greers Ferry
1AR7,Hope
1AR8,Lavaca
1AR9,Lonoke
1AZ0,Mobile
1AZ1,Tolleson
1AZ2,Tolleson
1AZ3,Safford
1AZ4,Phoenix
1AZ5,Tucson
1AZ6,Phoenix
1AZ7,Tolleson
1AZ8,Bullhead City
1B3,Fair Haven
1B5,Franconia
1B8,Cambridge
1C3,Argyle
1C4,Elkton
1C8,Rockford
1C9,Hollister
1CA0,Simi Valley
1CA1,South Belridge
1CA2,Rancho Cordova
1CA3,South Laguna Beach
1CA4,Blythe
1CA5,South Pasadena
1CA6,Alpine
1CA7,Costa Mesa
1CA8,Thousand Oaks
1CA9,Thousand Oaks
1CD0,Longmont
1CD1,Nunn
1CD2,Platteville
1CD4,Steam Boat Springs
1CD5,Del Norte
1CL0,San Dimas
1CL1,Lancaster
1CL2,Mojave
1CL3,Oakland
1CL4,Orange
1CL5,Poway
1CL6,Sacramento
1CL8,Santa Maria
1CL9,Vernon
1CO0,Aurora
1CO1,Morrison
1CO2,Norwood
1CO3,Nunn
1CO4,Olathe
1CO5,Rocky Ford
1CO6,Palisade
1CO7,Salida
1CO8,Parker
1CO9,Cortez
1CT0,Norwalk
1CT2,New Haven
1CT3,Waterbury
1D2,Plymouth
1D4,Akron
1D5,Chittenango
1D6,Hector
1DE5,Middletown
1DS,Orangeburg
100,Alpine
10000,Amarillo
1000000,Clarkton
10000000,Amarillo
100000000,Degrasse
1000000000,Canyon
1F1,Overbrook
1F2,Edinburg
1F6,Dolgeville
1F7,Dallas
1FA1,Crystal River
1FA3,Fort Myers
1FA5,Hialeah
1FD0,Grand Ridge
1FD2,Madison
1FD3,Atlantis
1FD4,Estero
1FD5,Miami
1FD6,Micanopy
1FD7,Palm Beach Gardens
1FD8,Bunnell
1FL0,Auburndale
1FL1,Kissimmee
1FL2,Lake City
1FL3,Lake City
1FL4,Miramar
1FL5,West Bay
1FL6,Ocala
1FL7,Bartow
1FL8,Cocoa Beach
1FL9,La Belle
1G6,Cicero
1G8,Toronto
1GA0,Shellman Bluff
1GA1,Columbus
1GA2,Luthersville
1GA3,Blairsville
1GA4,Statesboro
1GA5,Hahira
1GA6,Barnesville
1GA7,Cumming
1GA8,Nashville
1GA9,Monroe
1GE1,Blue Ridge
1GE2,Woodland
1GE3,Franklin
1GE4,Fort Valley
1GE5,Concord
1GE6,Patterson
1GE7,Madison
1GE8,Atlanta
1GE9,Waverly Hall
1H1,Clay
1H4,Greenville
1H6,Tulsa
1H9,Spooner
1I1,Keene
1I3,Bloomfield
1I6,Clarksville
1I8,Converse
1I9,Delphi
1IA0,Corning
1IA2,Dorchester
1IA3,Spencer
1IA4,Creston
1IA5,Nevada
1IA6,Randolph
1IA7,Iowa City
1IA9,Britt
1ID2,Horseshoe Bend
1ID3,Sandpoint
1ID4,Oasis
1ID5,Ketchum
1ID6,Kimberly
1ID7,Eden
1ID8,Gooding
1ID9,Inkom
1II0,Homer
1II2,Geneva
1II3,Carlisle
1II4,Corydon
1II5,Culver
1II6,Evansville
1II7,Fort Wayne
1II8,Greenfield
1IL0,El Paso
1IL1,Irving
1IL2,Delavan
1IL3,Alton
1IL4,Millstadt
1IL6,Dixon
1IL7,Dixon
1IL8,Donovan
1IL9,Mc Lean
1IN0,Parker City
1IN1,Lewisville
1IN2,Wingate
1IN3,Arcola
1IN4,Elizabeth
1IN5,Somerville
1IN6,Pine Village
1IN7,Syracuse
1IS0,Belleville
1IS2,Bement
1IS3,Blue Mound
1IS4,Lanark
1IS5,Paw Paw
1IS7,Rockford
1IS8,Ashton
1J9,Navarre
1JY1,Newark
1JY2,Silver Lake
1JY3,Newark
1JY4,Trenton
1JY5,Wildwood
1K1,Benton
1K3,Derby
1K5,Waynoka
1K6,Ellinwood
1K8,Ketchum
1KC,Kalakaket Creek
1KS0,Hutchinson
1KS1,Richmond
1KS2,Easton
1KS3,Riley
1KS4,Enterprise
1KS5,St Marys
1KS6,Salina
1KS7,Satanta
1KS8,Scott City
1KS9,Bonner Springs
1KY0,Richmond
1KY1,Elizabethtown
1KY2,Henderson
1KY3,Tompkinsville
1KY4,Lexington
1KY5,Louisville
1KY6,Harrodsburg
1KY7,Richmond
1KY8,Louisville
1L4,Cal Nev Ari
1LA0,Gueydan
1LA1,Hahnville
1LA2,Harahan
1LA3,Hayes
1LA4,Leeville
1LA5,Morrow
1LA6,Shreveport
1LA7,Mamou
1LA8,Intracoastal City
1LA9,Intracoastal City
1LL0,Seneca
1LL1,Lawrenceville
1LL2,Seneca
1LL4,Litchfield
1LL6,Shannon
1LL7,Sheffield
1LL8,Sheldon
1LL9,Loami
1LS0,Gonzales
1LS1,Baton Rouge
1LS2,Innis
1LS5,Cameron
1LS8,Ferriday
1M3,Ardmore
1M7,Fulton
1M8,Berkley
1MA0,Plymouth
1MA1,Ayer
1MA2,Worcester
1MA4,Lowell
1MA5,Southborough
1MA6,Southwick
1MA7,West Newbury
1MA8,Lincoln
1MA9,Taunton
1MD0,Lusby
1MD1,Cambridge
1MD3,Kennedyville
1MD4,Cheverly
1MD5,Laytonsville
1MD6,New Carrollton
1MD7,Rockville
1MD8,Westminster/Silver Run
1MD9,Hagerstown
1ME,Chesuncook
1ME1,Belfast
1MI0,Drummond Island
1MI1,Mass
1MI2,Auburn Hills
1MI3,Onaway
1MI4,Perronville
1MI5,Howell
1MI6,Sault Ste Marie
1MI7,Selkirk
1MI8,Hubbard
1MI9,Marquette
1MN0,Tenney
1MN1,Tenney
1MN2,Akiey
1MN3,Bigfork
1MN4,Vergas
1MN5,Waconia
1MN6,Cook
1MN7,Crosby
1MN8,Webster
1MN9,Jackson
1MO1,Kirkwood
1MO2,Freeman
1MO3,Gallatin
1MO4,Gallatin
1MO6,Grandin
1MO7,Gorin
1MO8,Gravois Mills
1MO9,Greenfield
1MS0,Shaw
1MS1,Philadelphia
1MS2,Goodman
1MS3,Kosciusko
1MS4,Jackson
1MS5,Byhalia
1MS6,Hernando
1MS7,Raleigh
1MS8,Shuqualak
1MS9,Centreville
1MT0,Gallatin Gateway
1MT1,Belgrade
1MT2,Billings
1MT3,Elliston
1MT4,Helena
1MT5,Miles City
1MT6,Philipsburg
1MT7,Sand Coulee
1MT8,Butte
1MT9,Billings
1MU0,Republic
1MU1,Rockaway Beach
1MU2,Ridgely
1MU3,Unionville
1MU4,Warrensburg
1MU5,Buffalo
1MU6,Fillmore
1MU7,Jackson
1MU8,Rushville
1MU9,Saint Charles
1MY1,Wendell
1N2,East Moriches
1N3,Philipsburg
1N5,Salisbury
1NA0,Mountain
1NA5,Streeter
1NA8,Braddock
1NA9,Taylor
1NC0,Asheboro
1NC1,Pittsboro
1NC2,Mooresville
1NC3,Elizabeth City
1NC4,Pollocksville
1NC5,Bunn
1NC6,Wingate
1NC8,Richfield
1NC9,Cherryville
1ND3,Kindred
1ND4,Argusville
1ND7,Lynchburg
1NE0,Brownlee
1NE1,Callaway
1NE2,Callaway
1NE5,Washington
1NE6,Dalton
1NJ0,New Brunswick
1NJ1,New Brunswick
1NJ2,New Brunswick
1NJ3,Atlantic City
1NJ4,New Brunswick
1NJ5,Blairstown
1NJ6,Newfoundland
1NJ7,Towaco
1NJ8,Oakland
1NJ9,Sussex
1NK0,Roxbury
1NK1,Stone Ridge
1NK2,Oneida
1NK3,Troy
1NK4,West Islip
1NK5,Westtown
1NK6,Wilmington
1NK7,Boonville
1NK8,Binghamton
1NK9,Huntington
1NM0,Silver City
1NV1,Fallon
1NV2,Henderson
1NY0,Hamburg
1NY2,Pulaski
1NY3,Richland
1NY4,Saranac
1NY5,Poughkeepsie
1NY6,Carlisle
1NY7,Clinton Dale
1NY8,Scipio
1NY9,Caughdenoy
1O0,Florence
1O6,Dunsmuir
1OA1,Pleasant Hill
1OA2,Grafton
1OA3,Blanchester
1OA4,Springfield
1OA5,Fayetteville
1OA6,Morrow
1OA7,Louisville
1OA8,Kilbourne
1OH0,Wilmington
1OH1,Quincy
1OH2,Bellevue
1OH3,Castalia
1OH4,St Marys
1OH5,San Marghareta
1OH6,Sidney
1OH7,Sonora
1OH8,South Charleston
1OH9,Peebles
1OI0,Mansfield
1OI1,Middlefield
1OI4,Moreland Hills
1OI6,New Lebanon
1OI7,Norwalk
1OI9,Piqua
1OK0,Bristow
1OK1,Kingfisher
1OK2,Goldsby
1OK3,Bray
1OK4,Idabel
1OK5,Lone Wolf
1OK6,Luther
1OK7,Maysville
1OK8,Edmond
1OK9,Marietta
1OL2,Harrah
1OR0,North Bend
1OR1,Newberg
1OR2,North Bend
1OR3,North Plains
1OR4,North Plains
1OR5,Olex
1OR6,Oregon City
1OR7,Oregon City
1OR8,Oregon City
1OR9,Oregon City
1P1,Plymouth
1PA0,Jersey Shore
1PA1,Philadelphia
1PA2,Philadelphia
1PA3,Kellers Church
1PA4,Lewistown
1PA5,New Galilee
1PA6,Kennett Square
1PA7,Huntington Valley
1PA8,Lehighton
1PA9,Klingerstown
1PN0,Pottstown
1PN1,Transfer
1PN2,Reading
1PR3,Guaynabo
1PS0,Osterburg
1PS1,Hermitage
1PS3,Myerstown
1PS4,Osceola Mills
1PS5,Philadelphia
1PS6,Philadelphia
1PS7,Philadelphia
1PS8,Punxsutawney
1PS9,Trumbauersville
1Q1,Strathmore
1Q5,Upper Lake
1RL,Point Roberts
1S1,Porthill
1S2,Darrington
1S4,Seiling
1S6,Priest River
1S7,Slate Creek
1S8,Arlington
1SC2,Hopkins
1SD0,Glad Valley
1SD1,Scotland
1SD2,Rapid City
1SD3,Hurley
1SD4,Faith
1SD5,White Lake
1SD6,Oelrich's
1SD7,Rosebud
1SD8,Albee
1SD9,Sioux Falls
1T8,San Antonio
1T9,Hallettsville
1TA0,Seabrook
1TA1,Jasper
1TA2,Tulia
1TA3,Alvin
1TA4,Crockett
1TA5,Denver City
1TA6,Whitesboro
1TA7,Canton
1TA9,Houston
1TE0,Muleshoe
1TE1,Catarina
1TE2,Crosby
1TE3,Jacksonville
1TE4,Marion
1TE5,Hearne
1TE6,Wildorado
1TE7,Floresville
1TE8,Howe
1TE9,Franklin
1TN0,Lebanon
1TN1,Louisville
1TN2,Rogersville
1TN3,Belvidere
1TN4,Dyersburg
1TN5,Columbia
1TN6,Karns
1TN7,Kingsport
1TN8,Kingsport
1TN9,Manchester
1TS0,Oak Island
1TS1,Pattison
1TS2,Hubbard
1TS3,San Leon
1TS4,Plano
1TS5,Stafford
1TS6,Carrizo Springs
1TS7,Refugio
1TS8,Colorado City
1TS9,Celina
1TX0,Lytle
1TX1,Gustine
1TX2,Guthrie
1TX3,Guthrie
1TX4,Lago Vista
1TX5,Hale Center
1TX6,Hamilton
1TX7,Hamlin
1TX8,Hart
1TX9,Hawkins
1U0,Minidoka
1U1,Moose Creek Ranger Station
1U3,Murphy
1U4,New Meadows
1U6,Oakley
1U9,Pine
1UT9,Salt Lake City
1VA0,Sabot
1VA1,Stuart
1VA2,Salem
1VA3,Lovingston
1VA4,Marshall
1VA5,Severn
1VA7,South Boston
1VA8,Chase City
1VA9,Stafford
1VG2,Montross
1W0,Almira
1W1,Camas
1W3,Cumberland
1W5,Eldersburg
1WA0,Vancouver
1WA1,Redmond
1WA2,Winlock
1WA3,Everett
1WA4,Everett
1WA5,Everett
1WA6,Fall City
1WA7,Cougar
1WA8,Fort Lewis
1WA9,Friday Harbor
1WF,Troy
1WI0,Orfordville
1WI1,Oshkosh
1WI2,Port Washington
1WI3,Princeton
1WI4,Racine
1WI5,Randolph
1WI6,Raymond Township
1WI7,Redgranite
1WI8,Algoma
1WI9,Fort Atkinson
1WN0,Northport
1WN1,Dundee
1WN2,Cedarburg
1WN3,Star Prairie
1WN5,Land-O-Lakes
1WT6,Bellevue
1XA0,Andice
1XA1,Bowie
1XA2,Beeville
1XA3,Corpus Christi
1XA4,Brookshire
1XA5,Paige
1XA6,Valley View
1XA7,Sealy
1XA8,Chatfield
1XA9,Tomball
1XS0,Spring Branch
1XS1,Crosby
1XS2,Elgin
1XS3,Fort Worth
1XS4,Taylor
1XS5,Austin
1XS6,Waco
1XS7,Terlingua
1XS8,Brackettville
1XS9,Three Rivers
1Y3,Mount Ayr
1Y5,New Hampton
1Y9,Paullina
1Z1,Whitmore
1Z9,Ellamar
20AK,Big Lake
20AL,Fort Rucker/Elba
20AR,Guy
20AZ,Picacho
20CA,Blythe
20CL,Pope Valley
20CO,Golden
20CT,New London
20E,Phoenix
20FA,Okeechobee
20FD,Greenville
20FL,Port Charlotte
20GA,Villa Rica
20ID,Idaho City
20II,Mooresville
20IL,Palos Heights
20IN,Franklin
20IS,Winslow
20K,Quail Creek
20KS,Augusta
20KY,Verona
20LA,Houma
20LS,Zachary
20MA,Needham
20MD,Annapolis
20ME,Lisbon
20MI,Marine City
20MO,Kearney
20NC,Sherrills Ford
20ND,Turtle Lake
20NE,Lincoln
20NJ,Jersey City
20NY,Stafford
20OH,Litchfield
20OI,Marion
20OK,Claremore
20OR,Redland
20PA,Philipsburg
20PN,West Point
20SC,Greer
20TA,Bells
20TE,Itasca
20TN,Knoxville
20TS,Bandera
20TX,Kerrville
20VA,Bowling Green
20VG,Bedford
20WA,Rochester
20WI,Redgranite
20XS,Chisholm
21AK,Talkeetna
21AL,Fort Rucker/Opp
21AR,Hazen
21AZ,Show Low
21CA,Huntington Beach
21CL,Lancaster
21CO,Golden
21FA,Rockledge
21FD,Marianna
21FL,Clermont
21GA,Newnan
21GE,Cleveland
21H,Anacortes
21ID,
21II,Madison
21IL,Mattoon
21IN,Hartford City
21JY,Harvey Cedars
21KS,Topeka
21KY,Hodgenville
21LA,Baton Rouge
21LS,St Francisville
21M,Greenville Junction
21MA,Pittsfield
21MI,Orchard Lake
21MN,Orono/Lake Minnetonka
21MO,Lawson
21MU,Shell Knob
21N,Mattituck
21NC,Hertford
21ND,Upham
21NE,Byron
21NH,Kensington
21NJ,Mahwah
21NK,Morris
21NY,Batavia
21OG,Jefferson
21OH,Lodi
21OI,Owensville
21OK,Tulsa
21OR,Portland
21PA,Pottsville
21PN,Carlisle
21SC,Darlington
21TA,Houston
21TE,Dayton
21TN,Dandridge
21TS,Baytown
21TX,Texarkana
21VA,Cheriton
21W,Greenwater
21WA,Vancouver
21WI,Hudson
21XS,Houston
22AK,Deadhorse
22AL,Fort Rucker/New Brockton
22AR,Johnson
22AZ,Bullhead City
22CA,Sausalito
22CD,Brighton
22CL,Marysville
22CN,Los Angeles
22CO,Brighton
22D,Eighty Four
22FA,Sarasota
22FD,Destin
22FL,Altha
22GA,Plainville
22GE,Ball Ground
22ID,Placerville
22II,Mount Vernon
22IL,Galena
22IN,Auburn
22IS,Carman
22JY,Perth Amboy
22KS,Wichita
22KY,Louisville
22LA,Simmesport
22LL,Ottawa
22LS,Arnaudville
22MA,Rockport
22MD,Hagerstown
22MI,Traverse City
22MN,Plymouth
22MO,Mountain Grove
22MS,Lucedale
22MT,Kalispell
22NA,Statesville
22NC,Siler City
22NE,Davenport
22NJ,Mount Holly
22NK,Dunkirk
22NR,Burlington
22NY,Batavia
22OG,Lakeview
22OH,Blue Ash
22OI,Lordstown
22OK,Springer
22OR,Silverton
22PA,Uniontown
22PN,Reading
22PS,Montrose
22SC,Spartanburg
22TA,San Antonio
22TE,Cordele
22TN,Gallatin
22TS,Houston
22TX,Austin
22VA,Wytheville
22VG,Abingdon
22WA,Wilbur
22WI,Oconto Falls
22WN,Dodgeville
22WV,Grafton
22WY,Rozet
22XA,Houston
22XS,Fort Hood(Killeen)
22Y,Motley
23A,York
23AK,Wasilla
23AL,Fort Rucker/Ozark
23AR,Jonesboro
23AZ,Wickenburg
23CA,Fort Jones
23CD,Burlington
23CL,Los Angeles
23CN,El Centro
23CO,Rush
23CT,Burlington
23D,Karlstad
23DE,Clayton
23FA,Miami Beach
23FD,Vero Beach
23FL,Wimauma
23GA,Roswell
23GE,Dublin
23IA,Shenandoah
23IL,Elk Grove Village
23IN,Indianapolis
23IS,Plymouth
23JY,Clayton
23KS,Bonner Springs
23KY,Burna
23LA,Covington
23LL,Palatine
23LS,Cameron
23MA,Westford
23MD,Chestertown
23ME,Rumford
23MI,Thompsonville
23MN,Preston
23MO,Butler
23MT,Bozeman
23N,Bayport
23NC,Kenansville
23ND,Center
23NE,Stromsburg
23NH,Windsor
23NJ,Pittsgrove
23NK,Macedon
23NR,Fairfield
23NY,Bath
23OA,Christianburg
23OH,Loudonville
23OI,Painesville
23OK,Lindsay
23OR,Springfield
23PA,Revere
23PN,Clearfield
23S,Seeley Lake
23TA,Tom Bean
23TE,Sunnyvale
23TS,Del Rio
23TX,The Grove/Ranch
23VA,Buckingham
23VG,Boydton
23VT,Londonderry
23WA,Puyallup
23WI,Black River Falls
23WN,Springbrook
23WV,Fayetteville
23WY,Jackson
23XA,Clarksville
23XS,Fort Hood/Killeen/
23Y,Murdock
24AK,Meadow Lakes
24AL,Fort Rucker/Dothan
24AR,Lundell
24AZ,Young
24C,Lowell
24CA,Pasadena
24CD,Walden
24CL,Corcoran
24CN,Anaheim
24CO,Boulder
24CT,Jewett City
24FA,Oklawaha
24FD,Seville
24FL,Milton
24GA,Snellville
24IA,Cedar Falls
24II,Vincennes
24IL,Geneseo
24IN,Helmsburg
24IS,Galena
24K,Mc Call
24KS,Haven
24KY,Mortons Gap
24LA,Cameron
24LL,Pinckneyville
24LS,Cameron
24M,Kent City
24MA,Barre
24MD,Baltimore
24ME,Windham
24MI,Alto
24MN,Garden City
24MO,Camdenton
24MT,Bozeman
24MU,Fairfax
24NC,Monroe
24NE,Lakeside
24NH,Westmoreland
24NJ,Freehold
24NK,Islandia
24NY,Bergen
24OH,Louisville
24OI,St Paris
24OK,Seminole
24OR,Beaverton
24PA,Freedom
24PN,Allentown
24S,Pinehurst
24SC,Summit
24TA,Centerville
24TE,Houston
24TS,North Richland Hills
24TX,Thurber
24VA,Cheriton
24WA,Othello
24WI,Somerset
24WN,Lake Geneva
24XA,San Antonio
24XS,Argyle
25A,Weaver
25AK,Willow
25AL,Fort Rucker/Goodman
25AR,Mount Pleasant
25AZ,Portal
25CA,Santa Ysabel
25CD,Hartsel
25CL,Pleasant Grove
25CN,Ellwood
25CO,Red Feather Lakes
25FA,Miami
25FD,Destin
25FL,Bushnell
25GA,Douglasville
25GE,Carlton
25II,Aboite
25IL,Virden
25IN,Howe
25IS,Chatham
25JY,Waterford
25KS,Kirwin
25KY,Paducah
25LA,Amelia
25LL,Piper City
25LS,Creole
25MA,Holliston
25MD,Sudlersville
25MI,Caseville
25MN,Deerwood
25MO,Carl Junction
25MS,Columbus
25MT,Glasgow
25NC,Asheboro
25NE,Melbeta
25NH,Charlestown
25NJ,Gibbstown
25NK,Hammondsport
25NM,Pie Town
25NR,Castle Hayne
25NY,Remsenburg
25OH,Louisville
25OI,Bristolville
25OK,Gore
25OR,Scio
25PA,Jeannette
25PN,Wellsboro
25SC,Greenville
25TA,Baytown
25TE,Joshua
25TN,Mc Minnville
25TS,Dalhart
25TX,Lufkin
25U,Imnaha
25VA,Aylett
25WA,Tonasket
25WI,Eau Claire
25WN,Pepin
25XA,Fredericksburg
25XS,Waxahachie
25Y,New York Mills
26AL,Mobile
26AR,Searcy
26AZ,Aguila
26CA,Wilton
26CL,Los Angeles
26CN,Acton
26CO,Colorado Springs
26FA,Orlando
26FD,Arcadia
26FL,Okeechobee
26GA,Newnan
26ID,Sandpoint
26II,Huntington
26IL,Leaf River
26IN,Knightstown
26IS,Fairbury
26JY,Winslow
26KS,Wellington
26KY,Louisville
26LA,Broussard
26LL,Sycamore
26LS,Intracoastal City
26MA,Pepperell
26MI,Lowell
26MN,Halstad
26MO,Theodosia
26MT,Hingham
26N,Ocean City
26NC,Boonville
26ND,Alexander
26NH,Lebanon
26NJ,Cape May Court House
26NK,Hamptonburgh
26NV,Fallon
26NY,Northport
26OG,Eagle Point
26OH,Louisville
26OK,Mounds
26OR,Happy Valley
26PA,Fleetwood
26PN,North Wales
26SD,Radip City
26TA,Baytown
26TE,Houston
26TS,The Woodlands
26TX,Truscott
26VA,Fairfax
26W,Napoleon
26WA,Port Angeles
26WI,Exeland
26XA,Westlake
26XS,Blanco
27AK,Kuparuk
27AL,Tuskegee
27AR,Bentonville
27AZ,Aguila
27C,Mecosta
27CA,Apple Valley
27CL,Pleasant Grove
27CN,Newhall
27CO,Delta
27FA,Orlando
27FD,Panama City
27FL,Wesley Chapel
27GA,Carrollton
27IA,Keosauqua
27II,Indianapolis
27IL,Jerseyville
27IN,Indianapolis
27IS,Dahlgren
27JY,Newton
27KS,Goodland
27KY,Bowling Green
27LA,Baton Rouge
27LL,Valmeyer
27LS,Baton Rouge
27MA,Berkley
27MI,Vassar
27MN,Lake Bronson
27MO,Carthage
27MT,Kalispell
27NC,Southport
27NE,Grant
27NH,Hanover
27NJ,Pitman
27NK,Schyler
27NY,Wallkill
27OH,Findlay
